[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,病,咗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,beng6,zo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,sick,-en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,三,點鐘,放學,，,我,同,家姐,一齊,搭,地鐵,返屋企,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,saam1,dim2-zung1,fong3-hok6,#,ngo5,tung4,gaa1-ze1,jat1-cai4,daap3,dei6-tit3,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,three,o'clock,dismissal,#,I,and,elder sister,together,to take,MTR,to go home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
返,到,屋企,，,一,行,到,房,門,就,見到,媽媽,瞓,咗,喺,牀,上面,。,天氣,好,熱,，,但係,媽媽,話,覺得,凍,。,我,同,家姐,未,見,過,媽媽,瞓,晏覺,，,覺得,有啲,奇怪,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
faan1,dou3,uk1-kei2,#,jat1,hang4,dou3,fong2,mun4,zau6,gin3-dou2,maa4-maa1,fan3,zo2,hai2,cong4,soeng6-min6,#,tin1-hei3,hou2,jit6,#,daan6-hai6,maa4-maa1,waa6,gok3-dak1,dung3,#,ngo5,tung4,gaa1-ze1,mei6,gin3,gwo3,maa4-maa1,fan3,aan3-gaau3,#,gok3-dak1,jau5-di1,kei4-gwaai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
to return,to,home,#,once,to walk,to,room,door,then,to see,mother,to sleep,-en,at,bed,above,#,weather,very,hot,#,but,mother,to say,to feel,cold,#,I,and,elder sister,not yet,to see,-ed,mother,to sleep,nap,#,to feel,a bit,strange,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,問,家姐,：,「,家姐,，,而家,應該,點,做,好,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,man6,gaa1-ze1,#,#,gaa1-ze1,#,ji4-gaa1,jing1-goi1,dim2,zou6,hou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,to ask,elder sister,#,#,elder sister,#,now,should,how,to do,well,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家姐,答,我,：,「,我,都,唔知,應該,點,做,好,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-ze1,daap3,ngo5,#,#,ngo5,dou1,m4-zi1,jing1-goi1,dim2,zou6,hou2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elder sister,to reply,I,#,#,I,also,don't know,should,how,to do,well,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,兩個,企,咗,喺,房,門,，,唔知,要,做,啲,咩,好,。,家姐,諗,咗,一陣,，,同,我,講,：,「,我,諗,到,喇,！,我哋,病,嗰陣,，,媽媽,會,畀,好多,好多,水,我哋,飲,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,loeng5-go3,kei5,zo2,hai2,fong2,mun4,#,m4-zi1,jiu3,zou6,di1,me1,hou2,#,gaa1-ze1,nam2,zo2,jat1-zan6,#,tung4,ngo5,gong2,#,#,ngo5,nam2,dou2,laa3,#,ngo5-dei6,beng6,go2-zan6,#,maa4-maa1,wui5,bei2,hou2-do1,hou2-do1,seoi2,ngo5-dei6,jam2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,
we,two,stand,-en,at,room,door,#,don't know,need to,to do,some,what,well,#,elder sister,to think,-en,a while,#,to,I,to say,#,#,I,to think,can,already,#,we,sick,that time,#,mother,will,to give,many,many,water,we,to drink,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,跑,去,廚房,拎,杯,水,畀,媽媽,。,媽媽,聽到,我,想,去,拎,水,，,細細聲,同,我,講,：,「,唔該晒,細佬,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
