[0],,,,,,,,,,,,,,,,
釣魚,日記,,,,,,,,,,,,,,,
diu3-jyu2,jat6-gei3,,,,,,,,,,,,,,,
fishing,diary,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,
阿一,好,早,起身,，,跟住,講,：,「,唉,，,好,眼瞓,，,,,
Aa3-Jat1,hou2,zou2,hei2-san1,#,gan1-zyu6,gong2,#,#,aai1,#,hou2,ngaan5-fan3,#,,,
Aa One,very,early,get up,#,and then,say,#,#,Sigh!,#,very,sleepy,#,,,
[2b],,,,,,,,,,,,,,,,
又係,時候,去,釣魚,喇,！,」,,,,,,,,,,
jau6-hai6,si4-hau6,heoi3,diu3-jyu2,laa3,#,#,,,,,,,,,,
again,time,go,fishing,(particle),#,#,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,
阿一,行,咗,一陣,，,咁啱,又,撞見,阿二,，,,,,,,,
Aa3-Jat1,haang4,zo2,jat1-zan6,#,gam3-ngaam1,jau6,zong6-gin3,Aa3-Ji6,#,,,,,,,
Aa One,walk,-ed,a while,#,incidentally,again,meet,Aa Two,#,,,,,,,
[3b],,,,,,,,,,,,,,,,
諗住,叫,佢,一齊,去,。,阿二,都,話,想,去,。,,,,,
nam2-zyu6,giu3,keoi5,jat1-cai4,heoi3,#,Aa3-Ji6,dou1,waa6,soeng2,heoi3,#,,,,,
intend to,ask,him,together,to go,#,Aa Two,also,say,want to,go,#,,,,,
[4a],,,,,,,,,,,,,,,,
突然,佢哋,撞見,阿五,。,阿五,問,佢哋,做,緊,咩,。,,,,,
dat6-jin4,keoi5-dei6,zong6-gin3,Aa3-Ng5,#,Aa3-Ng5,man6,keoi5-dei6,zou6,gan2,me1,#,,,,,
suddenly,they,meet,Aa Five,#,Aa Five,ask,them,do,-ing,what,#,,,,,
[4b],,,,,,,,,,,,,,,,
阿一,：,「,我哋,去,釣魚,啊,，,你,一唔一齊,去,啊,？,」,,,
Aa3-Jat1,#,#,ngo5-dei6,heoi3,diu3-jyu2,aa3,#,nei5,jat1-m4-jat1-cai4,heoi3,aa3,#,#,,,
Aa One,#,#,we,go,fishing,(particle),#,you,together or not,go,(particle),#,#,,,
[5a],,,,,,,,,,,,,,,,
阿五,聽,完,之後,好,驚,噉,講,：,,,,,,,,
Aa3-Ng5,teng1,jyun4,zi1-hau6,hou2,geng1,gam2,gong2,#,,,,,,,,
Aa Five,hear,finished,after,very,afraid,in this way,say,#,,,,,,,,
[5b],,,,,,,,,,,,,,,,
「,唔好,釣魚,好唔好,？,啲,魚,冇,咗,水,，,會,死,㗎,。,」,
#,m4-hou2,diu3-jyu2,hou2-m4-hou2,#,di1,jyu2,mou5,zo2,seoi2,#,wui5,sei2,gaa3,#,#,
#,do not,fishing,good or not good,#,those,fish,don't have,-ed,water,#,will,die,(particle),#,#,
[6],,,,,,,,,,,,,,,,
佢哋,冇,理到,阿五,，,轉身,兩,個,人,走,咗,。,,,,,
