[1],,,,,,,,,,,,,,,,
我嘅,老友,！,,,,,,,,,,,,,,
ngo5-ge3,lou5-jau5,#,,,,,,,,,,,,,,
my,buddy,#,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,
「,大家好,！,我,有,好多,朋友,，,你哋,又,多,唔多,朋友,？,,,
#,daai6-gaa1-hou2,#,ngo5,jau5,hou2-do1,pang4-jau5,#,nei5-dei6,jau6,do1,m4-do1,pang4-jau5,#,,,
#,hi everybody,#,I,have,many,friend,#,you,again,many,not many,friend,#,,,
[2b],,,,,,,,,,,,,,,,
噉,我,嚟,介紹,下,佢哋,先,！,」,,,,,,,,
gam2,ngo5,lai4,gaai3-siu6,haa5,keoi5-dei6,sin1,#,#,,,,,,,,
then,I,come,introduce,(suffix),them,first,#,#,,,,,,,,
[3a],,,,,,,,,,,,,,,,
「,一,開始,梗係,要,介紹,我,啲,大,朋友,啦,，,,,,,
#,jat1,hoi1-ci2,gang2-hai6,jiu3,gaai3-siu6,ngo5,di1,daai6,pang4-jau5,laa1,#,,,,,
#,once,begin,of course,need,introduce,my,(measure),big,friends,(particle),#,,,,,
[3b],,,,,,,,,,,,,,,,
佢哋,係,小明,同,小智,，,,,,,,,,,,,
keoi5-dei6,hai6,siu2-ming4,tung4,Siu2-Zi3,#,,,,,,,,,,,
they,are,Siu Ming,and,Archie,#,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,
我,好鍾意,同,佢哋,一齊,打波,㗎,。,」,,,,,,,,
ngo5,hou2-zung1-ji3,tung4,keoi5-dei6,jat1-cai4,daa2-bo1,gaa3,#,#,,,,,,,,
I,very like,with,them,together,play basketball,(particle),#,#,,,,,,,,
[4a],,,,,,,,,,,,,,,,
「,我,都,有,一啲,朋友,細,過,我,嘅,，,,,,,,
#,ngo5,dou1,jau5,jat1-di1,pang4-jau5,sai3,gwo3,ngo5,ge2,#,,,,,,
#,I,also,have,some,friend,small,than,me,(particle),#,,,,,,
[4b],,,,,,,,,,,,,,,,
佢哋,好鍾意,同,我,玩,，,,,,,,,,,,,
keoi5-dei6,hou2-zung1-ji3,tung4,ngo5,waan2,#,,,,,,,,,,,
they,very like,with,me,play,#,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,
我哋,鍾意,一齊,喺,公園,玩,，,,,,,,,,,,
ngo5-dei6,zung1-ji3,jat1-cai4,hai2,gung1-jyun2,waan2,#,,,,,,,,,,
we,like,together,at,park,play,#,,,,,,,,,,
[4d],,,,,,,,,,,,,,,,
每,次,玩,都,玩,成,三,粒鐘,。,」,,,,,,,
mui5,ci3,waan2,dou1,waan2,sing4,saam1,lap1-zung1,#,#,,,,,,,
every,time,play,also,play,approximately,three, hours,#,#,,,,,,,
[5a],,,,,,,,,,,,,,,,
「,我,都,有,一啲,大少少,嘅,朋友,，,,,,,,,,
#,ngo5,dou1,jau5,jat1-di1,daai6-siu2-siu2,ge3,pang4-jau5,#,,,,,,,,
#,I,also,have,some,a little bit bigger,s,friend,#,,,,,,,,
[5b],,,,,,,,,,,,,,,,
我,鍾意,同,佢哋,坐,喺,櫈,度,傾計,。,」,,,,,,
ngo5,zung1-ji3,tung4,keoi5-dei6,co5,hai2,dang3,dou6,king1-gai2,#,#,,,,,,
I,like,with,them,sit,at,chair,there,chat,#,#,,,,,,
[6a],,,,,,,,,,,,,,,,
「,我,有,一個,細佬,，,佢,叫,阿杰,，,佢,未,識,講嘢,。,,
#,ngo5,jau5,jat1-go3,sai3-lou2,#,keoi5,giu3,Aa3-Git6,#,keoi5,mei6,sik1,gong2-je5,#,,
#,I,have,a,younger brother,#,he,call,Jerry,#,he,not,know,speak,#,,
[6b],,,,,,,,,,,,,,,,
佢,係,我,朋友,，,我,好鍾意,望住,佢,瞓,喺度,，,,,,,
keoi5,hai6,ngo5,pang4-jau5,#,ngo5,hou2-zung1-ji3,mong6-zyu6,keoi5,fan3,hai2-dou6,#,,,,,
he,is,my,friend,#,I,very liek,watching,him,sleep,at here,#,,,,,
[6c],,,,,,,,,,,,,,,,
佢,起身,之後,我,又,同,佢,玩,。,」,,,,,,,
keoi5,hei2-san1,zi1-hau6,ngo5,jau6,tung4,keoi5,waan2,#,#,,,,,,,
he,get up,after,I,again,with,him,play,#,#,,,,,,,
[7a],,,,,,,,,,,,,,,,
「,我,仲有,一啲,朋友,有,尾,㗎,，,,,,,,,,
#,ngo5,zung6-jau5,jat1-di1,pang4-jau5,jau5,mei5,gaa3,#,,,,,,,,
#,I,still have,some,friend,have,tail,(particle),#,,,,,,,,
[7b],,,,,,,,,,,,,,,,
佢哋,係,我,啲,動物,朋友,：,,,,,,,,,,
keoi5-dei6,hai6,ngo5,di1,dung6-mat6,pang4-jau5,#,,,,,,,,,,
they,are,my,(measure),animal,friend,#,,,,,,,,,,
[7c],,,,,,,,,,,,,,,,
有,狗仔,啦,，,有,貓仔,啦,，,同,其他,動物,。,」,,,,
jau5,gau2-zai2,laa1,#,jau5,maau1-zai2,laa1,#,tung4,kei4-taa1,dung6-mat6,#,#,,,,
there is,puppy,(particle),#,there is,kitten,(particle),#,and,other,animal,#,#,,,,
[8a],,,,,,,,,,,,,,,,
「,我,有,一啲,朋友,，,其他人,見到,好,驚,，,但係,我,唔,驚,，,
#,ngo5,jau5,jat1-di1,pang4-jau5,#,kei4-taa1-jan4,gin3-dou2,hou2,geng1,#,daan6-hai6,ngo5,m4,geng1,#,
#,I,have,some,friend,#,other people,see can,very,afraid,#,but,I,not,afraid,#,
[8b],,,,,,,,,,,,,,,,
我,好鍾意,佢哋,。,有,蛇仔,，,有,毛毛蟲,。,」,,,,,,
ngo5,hou2-zung1-ji3,keoi5-dei6,#,jau5,se4-zai2,#,jau5,mou4-mou4-cung4,#,#,,,,,,
I,very like,them,#,there is,snake,#,there is,caterpillar,#,#,,,,,,
[9a],,,,,,,,,,,,,,,,
「,我,有,一啲,朋友,，,又,識,飛,，,又,識,游水,：,,,
#,ngo5,jau5,jat1-di1,pang4-jau5,#,jau6,sik1,fei1,#,jau6,sik1,jau4-seoi2,#,,,
#,I,have,some,friend,#,also,know,fly,#,also,know,swim,#,,,
[9b],,,,,,,,,,,,,,,,
有,魚仔,，,有,雀仔,。,」,,,,,,,,,,
jau5,jyu2-zai2,#,jau5,zoek3-zai2,#,#,,,,,,,,,,
there is,fish,#,there is,bird,#,#,,,,,,,,,,
[10a],,,,,,,,,,,,,,,,
「,我,好鍾意,讀書,同,返,學校,㗎,，,咩嘢,書,我,都,鍾意,，,,
#,ngo5,hou2-zung1-ji3,duk6-syu1,tung4,faan1,hok6-haau6,gaa3,#,me1-je5,syu1,ngo5,dou1,zung1-ji3,#,,
#,I,very like,read book,and,back,school,(particle),#,what,book,I,also,like,#,,
[10b],,,,,,,,,,,,,,,,
所以,書,都係,我嘅,朋友,。,」,,,,,,,,,,
so2-ji5,syu1,dou1-hai6,ngo5-ge3,pang4-jau5,#,#,,,,,,,,,,
so,book,also,my,friend,#,#,,,,,,,,,,
[11],,,,,,,,,,,,,,,,
「,我,有,一個,好,朋友,，,你哋,估,唔,估,到,係,邊個,啊,？,」
#,ngo5,jau5,jat1-go3,hou2,pang4-jau5,#,nei5-dei6,gu2,m4,gu2,dou2,hai6,bin1-go3,aa3,#,#
#,I,have,a,good,friend,#,you,guess,not,guess,can,is,who,(particle),#,#
[12a],,,,,,,,,,,,,,,,
「,嗰個,係,我,阿媽,，,佢,係,我,最,最,最,好,嘅,朋友,。,」
#,go2-go3,hai6,ngo5,aa3-maa1,#,keoi5,hai6,ngo5,zeoi3,zeoi3,zeoi3,hou2,ge3,pang4-jau5,#,#
#,that ,is,my,Mum,#,she,is,I,most,most,most,good,s,friend,#,#
[12b],,,,,,,,,,,,,,,,
「,我,有,一個,成日,陪,我嘅,朋友,，,,,,,,,,
#,ngo5,jau5,jat1-go3,sing4-jat6,pui4,ngo5-ge3,pang4-jau5,#,,,,,,,,
#,I,have,one,always,accompany,my,friend,#,,,,,,,,
[12c],,,,,,,,,,,,,,,,
佢,成日,都,出現,喺,我,身邊,，,,,,,,,,,
keoi5,sing4-jat6,dou1,ceot1-jin6,hai2,ngo5,san1-bin1,#,,,,,,,,,
he,always,also,appear,at,I,around,#,,,,,,,,,
[12d],,,,,,,,,,,,,,,,
你哋,估,唔,估,到,係,邊個,？,」,,,,,,,,
nei5-dei6,gu2,m4,gu2,dou2,hai6,bin1-go3,#,#,,,,,,,,
you,guess,not,guess,can,is,who,#,#,,,,,,,,
